model,phase,precision,recall,mAP50,mAP50_95,conf_threshold,negative_samples
augmented_yolov8n_with_negatives,validation,0.9656122800100775,0.8432810331941388,0.855,0.7470060250443014,0.5,232
augmented_yolov8n_with_negatives,test,0.8229668430805894,0.8116101875532822,0.8011568599533783,0.7050354473081265,0.5,232
