model,phase,precision,recall,mAP50,mAP50_95,conf_threshold,negative_samples
baseline_yolov8n_with_negatives,validation,0.9451651963328144,0.7297520661157023,0.7177780135702316,0.6598997128734988,0.5,232
baseline_yolov8n_with_negatives,test,0.8585571833874697,0.7064684569479965,0.6954829163796247,0.6324932959405636,0.5,232
augmented_yolov8n_with_negatives,validation,0.9656122800100775,0.8432810331941388,0.855,0.7470060250443014,0.5,232
augmented_yolov8n_with_negatives,test,0.8229668430805894,0.8116101875532822,0.8011568599533783,0.7050354473081265,0.5,232
